source_id,title,source_type,tier,base_tier_weight,published_year,decay_rate_lambda,status,superseded_by,file_path_or_url,author,notes
DALIL-QURAN,Kalamullah Al-Quran Al-Karim,dalil_syari,1,1.00,0,0.00,active,,Mushaf Madinah,Allah Subhanahu wa Ta'ala,Nash wahyu mutlak; kebal peluruhan waktu
DALIL-HADITS-KUTUBUTTISAH,Koleksi Hadits Shahih Kutubut Tis'ah (OpenBayan Shamela),dalil_syari,1,1.00,632,0.00,active,,local_qdrant:6333/shamela_11m,Rasulullah Shallallahu 'Alaihi Wasallam,Sunnah nabawiyah shahih; kebal peluruhan waktu
KITAB-TURATS-SALAF,Kitab Turats Ulama Klasik (Syarah Nawawi Ibn Qayyim Ghazali),kitab_turats,1,0.95,1350,0.00,active,,Qaf AI SDK / Maktabah Syamilah,Para Ulama Salafus Shalih,Khazanah turats rujukan manhaj; kebal peluruhan waktu
BOOK-PKN-CORE-MANHAJ,Buku Utama Pendidikan Karakter Nabawiyah (Bab 1-7 9-10),book_primary,1,1.00,2020,0.02,active,,Buku_Utama_PKN.pdf,Ustadz Abdul Kholiq S.Pd,"Buku babon acuan pokok PKN: Dasar Islam, Fitrah, 4 Etape Usia, Penilaian, Tashlih (Kecuali Bab 8)"
BOOK-TAFSIR-BAKAT-MASTER,Buku Tafsir Bakat (Master Naskah Lengkap Bab 1-12),book_primary,1,1.00,2024,0.02,active,,sources/buku_tafsir_bakat/,Ustadz Abdul Kholiq S.Pd,"Buku terpenting kedua setelah Buku Utama PKN; rujukan kanonikal 40 Bakat Nabawiyah, fitrah, silsilah akhlak, dan terapi ilaj"
BOOK-PKN-BAB8-LEGACY-TALENT,Buku Utama PKN Bab 8 (Pemetaan Bakat Gaya Lama / ST-30 & Talents Mapping),book_primary,2,0.40,2016,0.15,superseded,BOOK-TAFSIR-BAKAT-MASTER,Buku_Utama_PKN.pdf#Bab8,Ustadz Abdul Kholiq S.Pd,"Bagian Bab 8 tidak lagi digunakan; telah digantikan secara total oleh Buku Tafsir Bakat & TB-40"
FRAMEWORK-TAFSIR-BAKAT-TB40,Konsep & Standar Tafsir Bakat Nabawiyah (TB-40),framework_bakat,1,1.00,2024,0.02,active,,http://localhost:4040/api/tb40,Ustadz Abdul Kholiq S.Pd,Pengganti resmi Bab 8 buku lama: 40 pilar karakter berbasis maqashid dan sifat ilaj nabawi
DATA-TB40-API,Master Data Taksonomi 40 Karakter & Bakat TB-40 API,structured_api,1,0.95,2024,0.05,active,,http://localhost:4040/api/tb40,Tim Asesmen TB40 / Ustadz Abdul Kholiq,Engine dan API penilaian karakter 40 bakat Tafsir Bakat
ARTICLES-SOTAB-HEBAT,Koleksi 121 Tulisan Resmi SOTAB HEBAT Indonesia,article_sotab,1,0.85,2026,0.10,active,,https://sotabh.com/,Ustadz Abdul Kholik S.Pd,Materi refleksi bahasa hati dan panduan parenting nabawiyah mutakhir
VIDEOS-122-PKNDB,Koleksi 122 Rekaman Kajian Video & 1159 Bab PKN,transcript_video,3,0.40,2023,0.15,active,,../PKN-videoDB/caption-getter/v1/pkn.db,Ustadz Abdul Kholiq S.Pd,Transkrip kajian lisan; studi kasus dan dinamika lapangan
PPTX-PRESENTATIONS,Kumpulan Slide Presentasi Daurah & Workshop PKN,presentation,2,0.65,2023,0.12,active,,presentations/,Ustadz Abdul Kholiq S.Pd,Intisari materi visual untuk media ajar daurah
DOC-KBM-TOOLKIT,Dokumen Panduan RPP Observasi & Rubrik Karakter,kbm_toolkit,1,0.90,2025,0.05,active,,content/Templates/,Tim Kurikulum Sekolah Mitra,Instrumen praktis KBM sekolah siap pakai
EXTERNAL-REF-UMUM,Literatur dan Rujukan Pendidikan Alternatif / Umum (FBE / TM / Gardner),external_literature,3,0.45,2016,0.20,superseded,FRAMEWORK-TAFSIR-BAKAT-TB40,external/,Penulis Eksternal / Mitra,Kajian umum sekunder; diadaptasi di masa awal dan kini dimurnikan ke Tafsir Bakat
